label,clickTime,conversionTime,creativeID,userID,positionID,connectionType,telecomsOperator
0,16231202,,42905,3143312,3322,1,3
0,16231351,,44165,12207376,5672,1,2
0,16231904,,43762,16810477,2579,1,2
0,16232742,,50370,8925813,7117,1,3
0,16234316,,37673,1702104,1456,1,3
0,16235202,,15701,5391164,3322,1,2
0,16235327,,32817,19374314,7133,1,1
0,17000000,,31746,6762540,4522,1,1
0,17000001,,48795,532848,4289,1,1
0,17000001,,6615,19616027,3255,1,1
0,17000001,,35911,8128760,7422,1,1
0,17000002,,9187,2748335,7219,1,1
0,17000002,,8070,4587236,2772,1,1
0,17000002,,26548,9997428,5957,1,3
0,17000002,,26548,3965746,3869,1,1
0,17000002,,19550,1287474,3365,1,3
0,17000002,,22487,5263965,4252,2,3
0,17000002,,23802,2409658,3688,1,3
0,17000003,,12953,10155827,5727,1,1
0,17000003,,40272,9102050,3347,1,1
0,17000003,,3089,2798058,293,1,1
0,17000003,,33659,10894382,3851,1,1
0,17000003,,16042,18675524,3893,1,1
0,17000003,,24508,6328595,1638,1,1
0,17000003,,40340,1270332,3150,1,1
0,17000003,,8023,1172352,977,1,0
0,17000004,,39854,4509321,9604,1,2
0,17000004,,19305,2852253,3255,1,2
0,17000004,,13577,18784619,2426,1,0
0,17000004,,41326,18203001,721,1,3
0,17000004,,38024,2460111,3851,1,1
0,17000004,,36267,6899443,7536,1,1
0,17000005,,36267,13896699,4869,1,3
0,17000005,,27990,2328981,5545,1,2
0,17000005,,15017,5006531,3255,1,2
0,17000005,,1259,463234,6161,1,2
0,17000005,,31381,17130336,5545,1,3
0,17000005,,29529,12196799,4113,1,3
0,17000006,,42245,13876176,16177,0,1
0,17000006,,25274,5330922,5545,1,3
0,17000006,,28763,3201540,3347,1,1
0,17000006,,41294,9334659,5957,1,3
0,17000006,,43441,390513,2185,1,1
0,17000006,,10738,14823436,3347,1,3
0,17000006,,4465,1857485,7434,4,1
0,17000006,,1004,2038823,977,1,1
0,17000006,,31948,12014786,1385,0,1
0,17000006,,50178,8983367,59,1,2
0,17000006,,30180,12745081,13800,1,1
0,17000006,,26826,4896284,6833,1,1
0,17000006,,10394,9456251,7219,1,3
0,17000006,,13346,1622745,1942,2,2
0,17000006,,39449,11479168,4522,0,0
0,17000006,,32975,15419292,4818,1,2
0,17000007,,32975,1557783,7434,1,1
0,17000007,,1887,2015141,3688,1,1
0,17000007,,4793,1257450,1876,1,2
0,17000007,,28626,8117678,5510,1,1
0,17000007,,10394,4832696,293,1,1
0,17000007,,47430,4678122,5648,1,1
0,17000007,,8070,6334168,293,1,2
0,17000007,,3293,1177829,3347,1,1
0,17000007,,34865,8661190,20220,2,1
0,17000007,,1456,764204,6086,1,3
0,17000007,,10394,5015026,7219,1,1
0,17000007,,9860,10890621,1435,1,1
0,17000008,,38762,3757015,977,2,3
0,17000008,,48137,15596575,3688,1,1
0,17000008,,26548,18346599,4252,1,1
0,17000008,,13877,2264435,6876,1,1
0,17000008,,35035,14051938,5510,4,2
0,17000008,,44668,7879402,7370,1,1
0,17000008,,4465,1438585,2426,2,3
0,17000008,,7125,10634752,5716,1,3
0,17000009,,37045,19886363,3688,1,1
0,17000009,,43615,14516906,345,1,2
0,17000009,,13877,17772333,6876,1,1
0,17000009,,45251,5934953,6876,1,3
0,17000009,,42642,14282591,5290,1,1
0,17000009,,45254,9327830,5510,1,1
0,17000010,,36368,16674525,10457,1,1
0,17000010,,51484,16963723,2426,1,1
0,17000010,,27850,14679788,5716,1,1
0,17000010,,32817,18157945,6876,1,1
0,17000010,,14316,1976999,3178,1,1
0,17000010,,28626,2006332,7106,1,1
0,17000010,,51370,10362590,7219,1,1
0,17000010,,32975,19539284,4146,1,2
0,17000010,,26443,8690854,7219,1,1
0,17000011,,13929,9848191,17407,1,1
0,17000011,,42087,18466970,16102,1,1
0,17000011,,985,1750317,5414,1,3
0,17000011,,39600,13530529,3255,1,1
0,17000011,,11299,1829821,3420,1,1
0,17000011,,47956,11950736,6414,1,1
0,17000011,,12065,6916718,5137,1,2
0,17000011,,16786,16010974,721,1,1
0,17000011,,12462,13916957,6161,1,2
0,17000012,,36267,19902207,6382,1,1
0,17000012,,47142,13442534,11524,0,3
0,17000012,,7125,3699092,6086,1,3
0,17000012,,18650,78291,3255,1,3
0,17000012,,48137,15507494,1456,1,2
0,17000012,,14108,4106244,5639,1,1
0,17000012,,27018,9407412,16387,1,1
0,17000012,,35848,15845940,11111,1,1
0,17000012,,44479,1111625,1435,1,1
0,17000012,,41180,5899977,4522,1,1
0,17000012,,29829,1071934,2235,2,1
0,17000012,,3465,2079582,6086,1,3
0,17000013,,34554,4272818,977,1,1
0,17000013,,20397,10697397,2633,1,1
0,17000013,,45251,98309,6876,1,1
0,17000013,,27847,12849575,4522,1,1
0,17000013,,51245,11413603,9614,1,1
0,17000013,,8668,13109465,5726,1,2
0,17000013,,31931,239287,7149,1,1
0,17000013,,2764,2551467,977,1,1
0,17000013,,21129,1309134,9054,1,1
0,17000013,,45251,15160800,6876,1,1
0,17000013,,7125,16304787,6667,1,1
0,17000014,,13406,4049028,3347,1,3
0,17000014,,37613,14379522,2150,1,1
0,17000014,,46708,721014,2426,1,1
0,17000014,,28456,9310916,6995,1,3
0,17000014,,13877,19194902,6876,1,1
0,17000014,,49317,4915434,4522,1,1
0,17000014,,48137,1384890,3688,0,1
0,17000014,,997,2120928,5648,1,3
0,17000014,,33226,17066916,4522,1,3
0,17000014,,15306,9706223,4522,0,0
0,17000015,,997,2292736,3498,1,1
0,17000015,,16042,7033341,5971,1,1
0,17000015,,24640,14281283,4522,1,1
0,17000015,,39854,9322029,10117,1,0
0,17000015,,32975,19389175,3241,1,1
0,17000016,,16764,4660347,977,1,1
0,17000016,,38386,1029507,1192,1,1
0,17000016,,48137,19928142,1456,1,2
0,17000016,,13877,1180070,6876,1,3
0,17000016,,24680,7053557,4522,1,1
0,17000016,,42181,14282193,3150,1,1
0,17000016,,17979,4646421,4522,0,0
0,17000016,,4465,1119329,4635,3,3
0,17000016,,10122,2617575,7219,1,1
0,17000016,,21441,14412309,18858,1,1
0,17000016,,25493,364083,877,1,1
0,17000016,,32975,9101959,7434,1,1
0,17000017,,25759,8741060,4623,1,3
0,17000017,,36412,1017355,17407,1,1
0,17000017,,15575,598456,3322,1,2
0,17000017,,7125,7412534,6667,1,1
0,17000017,,45933,15969438,5414,1,2
0,17000017,,33847,4725456,8950,1,2
0,17000017,,51248,10543306,2150,1,1
0,17000017,,3465,2256911,5013,1,1
0,17000017,,15035,3946232,1193,1,1
0,17000017,,36368,14576918,16961,1,1
0,17000017,,17277,5802089,3338,1,1
0,17000017,,34865,11639656,20220,2,1
0,17000018,,6490,1666508,5347,1,1
0,17000018,,40182,19279692,15116,1,2
0,17000018,,26443,10796463,7219,1,1
0,17000018,,23617,17961669,3102,1,2
0,17000018,,49441,12023716,4522,1,1
0,17000018,,21890,9800074,2150,1,1
0,17000018,,48137,12933420,2426,1,1
0,17000018,,17490,7630847,2150,1,1
0,17000018,,49228,5018007,11111,1,1
0,17000018,,3846,554021,932,1,1
0,17000018,,24226,11279655,2909,1,1
0,17000018,,16003,6125152,5290,1,2
0,17000018,,40182,9234596,8617,1,1
0,17000018,,10664,2612740,3688,1,1
0,17000018,,8070,11236880,7219,1,1
0,17000018,,12921,16675680,3322,1,0
0,17000018,,48137,20036622,5156,1,1
0,17000018,,38762,1109901,7149,2,1
0,17000018,,48137,1504246,5510,1,1
0,17000019,,21882,19783125,5140,2,3
0,17000019,,39841,7657170,2579,2,2
0,17000019,,48137,9980484,6301,1,1
0,17000019,,40641,16592473,6013,1,1
1,17000019,17000133.0,17250,3924389,3573,1,1
0,17000019,,48137,12234684,1787,1,1
0,17000019,,50242,4545796,3706,1,1
0,17000019,,10771,11537913,5726,1,3
0,17000019,,8980,19208318,2579,2,1
0,17000019,,37246,16686775,9613,0,2
0,17000020,,47036,11913318,3284,2,3
0,17000020,,41180,18157099,4522,0,0
0,17000020,,5187,1082944,6850,2,3
0,17000020,,42142,8837559,4522,1,1
0,17000020,,50026,10142349,6875,1,1
0,17000020,,30088,5533965,3255,1,1
0,17000020,,15540,15134575,3688,1,2
0,17000020,,44000,1122988,2579,1,0
0,17000020,,20972,10531095,3688,1,1
0,17000020,,29790,8462406,3322,1,2
0,17000020,,7927,13550691,1465,1,3
0,17000020,,10394,6894887,7219,1,1
0,17000021,,45401,3319972,4252,2,1
0,17000021,,51248,15835111,2150,1,2
0,17000021,,32817,4654369,6876,1,2
0,17000021,,13600,10482244,3322,1,2
0,17000021,,36020,14635886,3322,3,3
0,17000021,,4686,1658851,1613,1,1
0,17000021,,41098,16231013,1456,1,2
0,17000021,,15395,14066650,7455,1,1
0,17000021,,1456,2437627,6086,1,3
0,17000021,,23526,1503041,8617,1,1
0,17000021,,30440,16092754,6086,1,1
0,17000021,,15034,19362482,3322,1,2
0,17000022,,14793,1762267,2281,1,1
0,17000022,,20452,17398355,7219,1,1
0,17000022,,4250,2009709,2831,1,1
0,17000022,,16937,15451235,4237,1,2
0,17000022,,15575,6695020,3322,2,1
0,17000022,,42568,3357327,2520,1,1
1,17000022,17000609.0,8023,12805898,977,1,2
0,17000022,,7179,4553810,942,1,1
0,17000022,,38260,9919298,2579,1,3
0,17000023,,46045,10971295,6681,1,1
0,17000023,,17983,2787495,7434,1,1
0,17000023,,17624,13662385,5726,1,2
0,17000023,,4465,1746056,4113,1,2
0,17000023,,44279,2373361,4113,2,2
0,17000023,,16030,17370568,126,1,2
0,17000023,,41457,1940390,6936,2,1
